Date,High,Low,Open,Close,Volume,Adj Close
2017-09-20,16.950000762939453,16.18000030517578,16.950000762939453,16.5,597100.0,16.5
2017-09-21,17.049999237060547,16.149999618530273,16.5,16.200000762939453,922400.0,16.200000762939453
2017-09-22,15.899999618530273,14.600000381469727,15.899999618530273,14.949999809265137,1446600.0,14.949999809265137
2017-09-25,15.399999618530273,13.699999809265137,14.800000190734863,14.699999809265137,1138800.0,14.699999809265137
2017-09-26,15.100000381469727,13.899999618530273,14.75,14.149999618530273,758900.0,14.149999618530273
2017-09-27,15.600000381469727,14.25,14.350000381469727,15.149999618530273,845800.0,15.149999618530273
2017-09-28,17.399999618530273,15.399999618530273,15.399999618530273,16.950000762939453,1633900.0,16.950000762939453
2017-09-29,18.899999618530273,16.25,17.100000381469727,17.049999237060547,2133000.0,17.049999237060547
2017-10-02,17.889999389648438,16.600000381469727,16.75,17.75,631500.0,17.75
2017-10-03,18.450000762939453,16.950000762939453,18.450000762939453,17.600000381469727,686200.0,17.600000381469727
2017-10-04,17.790000915527344,17.149999618530273,17.5,17.399999618530273,541800.0,17.399999618530273
2017-10-05,18.850000381469727,17.5,18.549999237060547,18.5,1174500.0,18.5
2017-10-06,18.700000762939453,17.399999618530273,18.649999618530273,17.700000762939453,968900.0,17.700000762939453
2017-10-09,18.100000381469727,17.200000762939453,17.850000381469727,17.5,692000.0,17.5
2017-10-10,20.350000381469727,17.549999237060547,18.0,19.950000762939453,2444300.0,19.950000762939453
2017-10-11,22.75,18.200000762939453,20.450000762939453,19.350000381469727,3214900.0,19.350000381469727
2017-10-12,19.850000381469727,17.450000762939453,19.399999618530273,17.549999237060547,1808600.0,17.549999237060547
2017-10-13,17.889999389648438,15.75,17.649999618530273,16.100000381469727,1982200.0,16.100000381469727
2017-10-16,17.299999237060547,16.0,17.100000381469727,16.700000762939453,1248800.0,16.700000762939453
2017-10-17,18.350000381469727,16.549999237060547,17.399999618530273,17.899999618530273,3909600.0,17.899999618530273
2017-10-18,18.0,16.700000762939453,17.75,17.5,1856200.0,17.5
2017-10-19,17.899999618530273,17.200000762939453,17.350000381469727,17.75,1049800.0,17.75
2017-10-20,20.0,17.799999237060547,17.799999237060547,19.0,1866100.0,19.0
2017-10-23,20.399999618530273,18.3700008392334,19.100000381469727,18.600000381469727,1592200.0,18.600000381469727
2017-10-24,18.989999771118164,17.850000381469727,18.450000762939453,17.850000381469727,998500.0,17.850000381469727
2017-10-25,18.600000381469727,17.549999237060547,17.799999237060547,18.0,696200.0,18.0
2017-10-26,18.299999237060547,17.049999237060547,17.75,17.399999618530273,1453800.0,17.399999618530273
2017-10-27,17.549999237060547,17.0,17.299999237060547,17.299999237060547,941800.0,17.299999237060547
2017-10-30,17.559999465942383,17.049999237060547,17.399999618530273,17.450000762939453,650900.0,17.450000762939453
2017-10-31,18.049999237060547,17.299999237060547,17.549999237060547,17.950000762939453,542600.0,17.950000762939453
2017-11-01,18.100000381469727,16.149999618530273,18.100000381469727,16.399999618530273,1337600.0,16.399999618530273
2017-11-02,16.979999542236328,16.149999618530273,16.299999237060547,16.75,410400.0,16.75
2017-11-03,16.93000030517578,16.350000381469727,16.649999618530273,16.5,577900.0,16.5
2017-11-06,16.950000762939453,16.200000762939453,16.600000381469727,16.299999237060547,754400.0,16.299999237060547
2017-11-07,16.600000381469727,14.25,16.350000381469727,14.329999923706055,1655700.0,14.329999923706055
